iter	Passed	Remaining
0	10	10650
1	20	10360
2	30	10086
3	40	10006
4	48	9650
5	56	9390
6	64	9109
7	72	9017
8	80	8858
9	89	8868
10	97	8756
11	105	8715
12	113	8614
13	122	8594
14	129	8518
15	137	8462
16	145	8409
17	153	8368
18	161	8316
19	169	8317
20	177	8278
21	185	8244
22	193	8201
23	201	8186
24	208	8136
25	218	8183
26	228	8234
27	237	8244
28	245	8235
29	253	8199
30	261	8183
31	269	8151
32	277	8141
33	288	8199
34	298	8224
35	305	8189
36	315	8200
37	322	8171
38	330	8143
39	338	8129
40	347	8120
41	355	8100
42	363	8081
43	370	8059
44	378	8040
45	386	8023
46	394	8008
47	403	7995
48	412	8005
49	420	7997
50	428	7979
51	437	7969
52	446	7972
53	455	7974
54	463	7955
55	472	7963
56	480	7942
57	488	7936
58	496	7912
59	504	7906
60	512	7885
61	520	7880
62	529	7871
63	538	7881
64	547	7871
65	556	7873
66	565	7868
67	572	7850
68	581	7848
69	589	7835
70	600	7862
71	609	7857
72	617	7839
73	625	7827
74	633	7818
75	641	7801
76	650	7797
77	658	7783
78	665	7756
79	671	7723
80	679	7704
81	686	7684
82	693	7663
83	701	7645
84	708	7624
85	715	7600
86	721	7571
87	727	7542
88	734	7514
89	740	7484
90	746	7459
91	753	7436
92	760	7413
93	766	7387
94	773	7366
95	779	7341
96	785	7316
97	792	7291
98	798	7265
99	805	7247
100	811	7227
101	819	7213
102	826	7194
103	832	7175
104	840	7167
105	847	7146
106	854	7134
107	862	7126
108	870	7114
109	877	7097
110	884	7079
111	892	7073
112	899	7059
113	908	7063
114	917	7063
115	928	7078
116	939	7092
117	948	7087
118	958	7097
119	967	7098
120	977	7102
121	987	7109
122	995	7100
123	1004	7093
124	1011	7082
125	1020	7079
126	1028	7066
127	1036	7060
128	1044	7049
129	1052	7046
130	1061	7041
131	1069	7031
132	1076	7020
133	1085	7012
134	1092	7002
135	1101	6994
136	1108	6982
137	1117	6982
138	1128	6987
139	1136	6980
140	1143	6965
141	1149	6946
142	1156	6928
143	1162	6912
144	1169	6895
145	1176	6879
146	1182	6863
147	1189	6846
148	1195	6830
149	1202	6813
150	1208	6797
151	1215	6779
152	1221	6761
153	1227	6743
154	1233	6724
155	1240	6710
156	1246	6693
157	1253	6680
158	1260	6667
159	1267	6653
160	1274	6639
161	1280	6623
162	1286	6608
163	1293	6592
164	1299	6577
165	1306	6563
166	1312	6548
167	1319	6535
168	1326	6521
169	1332	6507
170	1339	6494
171	1345	6479
172	1352	6466
173	1359	6454
174	1367	6444
175	1374	6434
176	1381	6423
177	1389	6418
178	1397	6409
179	1404	6397
180	1412	6390
181	1419	6380
182	1427	6370
183	1434	6363
184	1442	6354
185	1449	6343
186	1457	6334
187	1464	6325
188	1472	6317
189	1481	6315
190	1488	6305
191	1497	6300
192	1504	6292
193	1512	6284
194	1520	6276
195	1528	6269
196	1535	6260
197	1543	6251
198	1551	6244
199	1559	6236
200	1567	6229
201	1574	6220
202	1582	6212
203	1589	6203
204	1597	6195
205	1605	6187
206	1613	6180
207	1620	6168
208	1626	6155
209	1632	6142
210	1638	6128
211	1645	6115
212	1651	6102
213	1657	6088
214	1664	6075
215	1670	6063
216	1676	6050
217	1683	6037
218	1689	6024
219	1695	6011
220	1703	6004
221	1709	5992
222	1716	5980
223	1722	5968
224	1729	5955
225	1735	5942
226	1741	5930
227	1747	5918
228	1754	5905
229	1760	5893
230	1766	5880
231	1772	5867
232	1778	5855
233	1785	5843
234	1791	5831
235	1797	5818
236	1803	5806
237	1809	5794
238	1816	5783
239	1822	5771
240	1828	5760
241	1835	5748
242	1841	5736
243	1847	5724
244	1853	5712
245	1859	5699
246	1867	5691
247	1874	5682
248	1881	5674
249	1888	5666
250	1896	5660
251	1904	5652
252	1912	5645
253	1919	5637
254	1927	5630
255	1934	5621
256	1943	5618
257	1952	5616
258	1962	5613
259	1970	5607
260	1977	5600
261	1985	5592
262	1994	5590
263	2002	5582
264	2010	5577
265	2018	5569
266	2026	5562
267	2033	5554
268	2040	5546
269	2048	5537
270	2055	5530
271	2063	5522
272	2070	5514
273	2078	5506
274	2085	5499
275	2093	5491
276	2100	5482
277	2108	5476
278	2115	5466
279	2121	5455
280	2127	5444
281	2134	5433
282	2140	5422
283	2146	5411
284	2153	5402
285	2160	5394
286	2167	5383
287	2173	5373
288	2180	5363
289	2186	5353
290	2192	5343
291	2199	5333
292	2205	5322
293	2212	5314
294	2219	5305
295	2226	5294
296	2232	5284
297	2238	5274
298	2245	5263
299	2251	5253
300	2257	5243
301	2264	5233
302	2270	5223
303	2276	5212
304	2283	5202
305	2289	5193
306	2296	5183
307	2302	5172
308	2308	5162
309	2314	5152
310	2321	5142
311	2327	5132
312	2334	5124
313	2341	5114
314	2348	5107
315	2356	5101
316	2363	5093
317	2371	5085
318	2379	5079
319	2387	5072
320	2394	5065
321	2402	5057
322	2409	5051
323	2417	5044
324	2425	5037
325	2433	5030
326	2440	5022
327	2447	5015
328	2455	5008
329	2462	5000
330	2470	4993
331	2477	4984
332	2485	4977
333	2493	4972
334	2501	4965
335	2510	4960
336	2518	4954
337	2527	4951
338	2537	4947
339	2545	4940
340	2553	4933
341	2560	4927
342	2568	4919
343	2575	4911
344	2582	4903
345	2590	4897
346	2597	4887
347	2604	4879
348	2611	4871
349	2619	4864
350	2626	4857
351	2634	4849
352	2641	4841
353	2649	4835
354	2657	4827
355	2664	4820
356	2672	4813
357	2679	4805
358	2687	4798
359	2694	4790
360	2702	4783
361	2709	4775
362	2717	4767
363	2724	4760
364	2731	4752
365	2739	4745
366	2747	4738
367	2754	4730
368	2762	4723
369	2769	4715
370	2776	4707
371	2784	4700
372	2791	4692
373	2799	4685
374	2806	4677
375	2813	4669
376	2821	4662
377	2829	4655
378	2836	4647
379	2843	4639
380	2851	4632
381	2858	4624
382	2865	4616
383	2873	4609
384	2880	4601
385	2887	4593
386	2895	4586
387	2902	4578
388	2910	4571
389	2918	4564
390	2927	4559
391	2934	4552
392	2941	4543
393	2949	4535
394	2956	4528
395	2963	4520
396	2971	4512
397	2978	4504
398	2985	4496
399	2993	4489
400	3000	4482
401	3009	4476
402	3016	4468
403	3024	4461
404	3031	4454
405	3040	4447
406	3047	4440
407	3054	4432
408	3061	4424
409	3069	4417
410	3078	4411
411	3085	4403
412	3092	4395
413	3100	4388
414	3107	4380
415	3115	4373
416	3122	4365
417	3129	4357
418	3137	4349
419	3144	4342
420	3151	4334
421	3159	4327
422	3166	4319
423	3174	4312
424	3181	4304
425	3188	4296
426	3196	4289
427	3203	4281
428	3211	4274
429	3218	4266
430	3225	4258
431	3232	4250
432	3240	4243
433	3247	4235
434	3255	4227
435	3262	4220
436	3269	4212
437	3276	4204
438	3283	4196
439	3291	4188
440	3298	4181
441	3306	4174
442	3314	4167
443	3322	4160
444	3330	4153
445	3336	4144
446	3342	4135
447	3348	4126
448	3354	4116
449	3360	4107
450	3366	4098
451	3372	4089
452	3378	4080
453	3385	4071
454	3391	4062
455	3397	4053
456	3403	4044
457	3409	4035
458	3415	4025
459	3422	4017
460	3428	4008
461	3434	3999
462	3440	3990
463	3446	3981
464	3453	3973
465	3459	3964
466	3465	3955
467	3472	3946
468	3478	3938
469	3484	3929
470	3491	3920
471	3497	3912
472	3503	3903
473	3510	3895
474	3517	3887
475	3523	3878
476	3530	3871
477	3537	3863
478	3543	3854
479	3550	3846
480	3558	3840
481	3567	3833
482	3575	3826
483	3583	3820
484	3591	3813
485	3599	3807
486	3607	3800
487	3615	3793
488	3623	3786
489	3630	3779
490	3638	3771
491	3645	3764
492	3653	3756
493	3660	3749
494	3667	3742
495	3675	3734
496	3682	3726
497	3690	3719
498	3697	3712
499	3705	3705
500	3712	3698
501	3721	3692
502	3730	3685
503	3737	3678
504	3746	3672
505	3753	3664
506	3764	3661
507	3773	3655
508	3784	3650
509	3796	3647
510	3805	3641
511	3813	3634
512	3820	3627
513	3829	3620
514	3836	3612
515	3844	3606
516	3850	3597
517	3859	3591
518	3865	3582
519	3876	3578
520	3885	3571
521	3894	3566
522	3902	3559
523	3911	3552
524	3917	3544
525	3925	3537
526	3932	3529
527	3941	3523
528	3947	3514
529	3956	3508
530	3962	3500
531	3971	3493
532	3977	3484
533	3985	3477
534	3992	3469
535	3999	3462
536	4007	3455
537	4014	3447
538	4022	3440
539	4039	3440
540	4046	3432
541	4055	3426
542	4061	3418
543	4069	3411
544	4075	3402
545	4083	3395
546	4091	3388
547	4098	3380
548	4105	3372
549	4112	3364
550	4118	3356
551	4125	3348
552	4132	3340
553	4146	3338
554	4153	3330
555	4160	3322
556	4168	3315
557	4175	3307
558	4184	3300
559	4190	3292
560	4199	3286
561	4205	3277
562	4214	3271
563	4220	3262
564	4229	3256
565	4236	3248
566	4244	3241
567	4251	3233
568	4260	3227
569	4268	3220
570	4275	3212
571	4282	3204
572	4288	3196
573	4295	3188
574	4303	3180
575	4312	3174
576	4320	3167
577	4326	3159
578	4333	3150
579	4339	3142
580	4346	3134
581	4352	3126
582	4359	3118
583	4365	3109
584	4371	3101
585	4378	3093
